# Result: 'mechDisplacement' on node(s) 'top_right' number #1002
# t (s)  x (m)  y (m)  
# ---------------------------------------------------------------------------
0.00049549  7.57393e-11  -1.30262e-09
0.00099098  6.28718e-10  -1.21279e-08
0.00148647  2.1331e-09  -4.82531e-08
0.00198196  4.22339e-09  -1.15719e-07
0.00247745  5.29026e-09  -1.88357e-07
0.00297294  3.28232e-09  -2.06287e-07
0.00346843  -2.7798e-09  -1.05335e-07
0.00396392  -1.17806e-08  1.37995e-07
0.00445941  -2.06416e-08  4.74063e-07
0.0049549  -2.52605e-08  7.82919e-07
0.00545039  -2.19566e-08  9.21876e-07
0.00594588  -9.48204e-09  8.02116e-07
0.00644137  8.9853e-09  4.53299e-07
0.00693686  2.59075e-08  3.19965e-08
0.00743235  3.24967e-08  -2.41174e-07
0.00792784  2.31002e-08  -1.85607e-07
0.00842333  -1.48631e-09  2.4618e-07
0.00891882  -3.35212e-08  9.31432e-07
0.00941431  -6.08124e-08  1.61269e-06
0.0099098  -7.10946e-08  1.99346e-06
0.0104053  -5.73884e-08  1.86676e-06
0.0109008  -2.24801e-08  1.22911e-06
0.0113963  2.09949e-08  3.10449e-07
0.0118918  5.58442e-08  -5.16769e-07
0.0123872  6.77856e-08  -9.05633e-07
0.0128827  5.12521e-08  -6.92169e-07
0.0133782  1.16946e-08  2.77624e-08
0.0138737  -3.59065e-08  9.31186e-07
0.0143692  -7.22303e-08  1.59974e-06
0.0148647  -8.1475e-08  1.70073e-06
0.0153602  -5.87668e-08  1.13516e-06
0.0158557  -1.25083e-08  7.69775e-08
0.0163512  3.97652e-08  -1.10741e-06
0.0168467  7.85719e-08  -2.00655e-06
0.0173421  8.95898e-08  -2.318e-06
0.0178376  6.89594e-08  -1.96164e-06
0.0183331  2.50373e-08  -1.11415e-06
0.0188286  -2.44064e-08  -1.45491e-07
0.0193241  -5.93255e-08  5.28522e-07
0.0198196  -6.57768e-08  6.1572e-07
0.0203151  -4.11995e-08  5.96873e-08
0.0208106  5.18792e-09  -9.45485e-07
0.0213061  5.58529e-08  -2.02911e-06
0.0218016  9.11858e-08  -2.78081e-06
0.0222971  9.72281e-08  -2.91112e-06
0.0227925  7.16067e-08  -2.37078e-06
0.023288  2.4535e-08  -1.371e-06
0.0237835  -2.56174e-08  -2.95072e-07
0.024279  -5.97449e-08  4.54039e-07
0.0247745  -6.49721e-08  6.0445e-07
0.02527  -3.92987e-08  1.16733e-07
0.0257655  7.09408e-09  -7.94441e-07
0.026261  5.54417e-08  -1.73961e-06
0.0267565  8.62135e-08  -2.31262e-06
0.027252  8.70508e-08  -2.25385e-06
0.0277474  5.72991e-08  -1.54804e-06
0.0282429  7.85559e-09  -4.25121e-07
0.0287384  -4.29323e-08  7.26745e-07
0.0292339  -7.58472e-08  1.50501e-06
0.0297294  -7.84063e-08  1.65068e-06
0.0302249  -5.03137e-08  1.15628e-06
0.0307204  -3.52092e-09  2.67521e-07
0.0312159  4.30622e-08  -6.20724e-07
0.0317114  7.09277e-08  -1.11883e-06
0.0322069  6.86284e-08  -9.87795e-07
0.0327023  3.62152e-08  -2.32023e-07
0.0331978  -1.43738e-08  8.96249e-07
0.0336933  -6.36874e-08  1.99155e-06
0.0341888  -9.27613e-08  2.65849e-06
0.0346843  -9.09357e-08  2.67052e-06
0.0351798  -5.95008e-08  2.05184e-06
0.0356753  -1.07837e-08  1.06244e-06
0.0361708  3.62192e-08  1.01962e-07
0.0366663  6.28488e-08  -4.4103e-07
0.0371618  5.83803e-08  -3.44672e-07
0.0376572  2.46275e-08  3.53994e-07
0.0381527  -2.49239e-08  1.3756e-06
0.0386482  -7.0871e-08  2.31393e-06
0.0391437  -9.54351e-08  2.79372e-06
0.0396392  -8.87868e-08  2.60956e-06
0.0401347  -5.28722e-08  1.80616e-06
0.0406302  -1.28994e-09  6.68999e-07
0.0411257  4.59731e-08  -3.86154e-07
0.0416212  7.09122e-08  -9.82225e-07
0.0421167  6.4593e-08  -9.28783e-07
0.0426121  3.0184e-08  -2.89967e-07
0.0431076  -1.85119e-08  6.44076e-07
0.0436031  -6.20971e-08  1.46581e-06
0.0440986  -8.26934e-08  1.80442e-06
0.0445941  -7.13549e-08  1.47629e-06
0.0450896  -3.20431e-08  5.63021e-07
0.0455851  2.03407e-08  -6.24947e-07
0.0460806  6.61894e-08  -1.67459e-06
0.0465761  8.85398e-08  -2.22712e-06
0.0470716  7.92066e-08  -2.11127e-06
0.047567  4.2149e-08  -1.4118e-06
0.0480625  -7.60764e-09  -4.42226e-07
0.048558  -4.98491e-08  3.78151e-07
0.0490535  -6.7597e-08  6.95201e-07
0.049549  -5.38569e-08  3.59493e-07
